n,sigma,error
50,1.0,0.2507035236028905
50,0.5,0.0009568495870091454
100,1.0,0.12431468340128049
100,0.5,0.00023435729523058058
150,1.0,0.08264462305306708
150,0.5,0.00010345277907219952
200,1.0,0.06189635547358918
200,0.5,5.7999395451702185e-05
250,1.0,0.04947522781018776
250,0.5,3.704377295932204e-05
300,1.0,0.041206088298654464
300,0.5,2.569097334514936e-05
350,1.0,0.03530525239627735
350,0.5,1.8856831097480153e-05
400,1.0,0.03088274021347459
400,0.5,1.4426900197150871e-05
450,1.0,0.027444855047377814
450,0.5,1.1392744905691643e-05
500,1.0,0.024695710528256143
500,0.5,9.223931240143202e-06
550,1.0,0.022447180053976723
550,0.5,7.620345421344155e-06
600,1.0,0.020573934072281475
600,0.5,6.401216332108106e-06
650,1.0,0.01898925528637463
650,0.5,5.452877157807734e-06
700,1.0,0.017631233669263224
700,0.5,4.700640971577741e-06
750,1.0,0.016454486082018605
750,0.5,4.094056404113644e-06
800,1.0,0.015424988170380516
800,0.5,3.597644614217188e-06
850,1.0,0.014516728493717324
850,0.5,3.1864390166447265e-06
900,1.0,0.013709481924976785
900,0.5,2.841726516322751e-06
950,1.0,0.012987284312767855
950,0.5,2.55015382322199e-06
1000,1.0,0.012337367895824514
1000,0.5,2.3014400589715933e-06
